rank,game_id,gamename,brandname,sellday,median,count2_get_score,pov_votes
1,20764,ランス10,ALICESOFT,2018-02-23,99,1153,7
2,26206,WHITE ALBUM2 EXTENDED EDITION,Leaf,2018-02-14,96,912,2
3,4286,マブラヴ オルタネイティヴ,âge(age),2006-02-24,94,3675,1
4,13255,WHITE ALBUM2 ～closing chapter～,Leaf,2011-12-22,94,2631,6
5,2093,この世の果てで恋を唄う少女YU-NO,elf,1996-12-26,93,1222,1
6,40813,街ヤリ 〜東京編リニューアル〜,SecondSight,2025-12-27,93,2,2
7,3254,Fate/stay night,TYPE-MOON,2004-01-30,90,4863,1
8,8134,戦国ランス,ALICESOFT,2006-12-15,90,3175,15
9,10469,装甲悪鬼村正,NitroPlus,2009-10-30,90,3015,2
10,4529,サクラノ詩 -櫻の森の上を舞う-,枕,2015-10-23,90,2671,3
11,6940,パルフェ ～chocolat second brew Re-order～,戯画,2005-12-22,90,2527,1
12,204,鬼畜王ランス,ALICESOFT,1996-12-19,90,1559,7
13,28941,白昼夢の青写真,Laplacian,2020-09-25,90,1459,2
14,31550,ヘンタイ・プリズン,Qruppo,2022-01-28,90,1028,1
15,27720,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか? 2,Qruppo,2019-07-26,89,1421,1
16,2894,君が望む永遠 DVD specification,âge(age),2003-07-25,89,993,1
17,33715,おとなりの奥様は今日も独り2 遅咲きの青い春,やさにき,2022-12-08,89,10,2
18,26543,おねショタなつやすみ,茶色いうさぎの,2017-09-25,89,3,1
19,40815,街ヤリ 〜東京編外伝〜,SecondSight,2026-05-07,89,2,1
20,1530,君が望む永遠,âge(age),2001-08-03,88,2433,2
21,4673,パルフェ ～ショコラ second brew～,戯画,2005-03-25,88,1830,1
22,17811,ChuSingura46+1 -忠臣蔵46+1-,インレ,2013-05-31,88,1758,1
23,28984,虚ノ少女《NEW CAST REMASTER EDITION》,Innocent Grey,2020-08-28,88,393,1
24,28762,さくらの雲＊スカアレットの恋,きゃべつそふと,2020-09-25,87,1566,1
25,33621,アマカノ2+,あざらしそふと,2023-04-28,87,312,1
26,30962,ミッションマーメイデン -ハスミと深海の姉妹-,八角家,2020-07-27,87,7,1
27,7169,この青空に約束を―,戯画,2006-03-31,85,4344,1
28,9706,世界でいちばんNG(ダメ)な恋,HERMIT,2007-11-22,85,2381,1
29,5924,SWAN SONG,Le.Chocolat,2005-07-29,85,2239,1
30,3852,RanceVI -ゼス崩壊-,ALICESOFT,2004-08-27,85,1961,4
31,26724,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか?,Qruppo,2018-07-27,85,1914,1
